,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
300010,2019-05-26 16:15:40,6011388901471808,fraud_Fritsch LLC,travel,7.57,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,1951-02-05,3790b4ab9b6b6035cd6376ede15a5380,1338048940,40.336147,-79.751724,0
300011,2019-05-26 16:15:50,30373802285317,fraud_Rippin-VonRueden,health_fitness,50.67,Nicholas,Osborne,M,7538 Carrie Meadow Suite 574,Claremont,CA,91711,34.1092,-117.7183,35705,Wellsite geologist,1956-05-15,385c41ab975dbeb60ada9b123ccdbd71,1338048950,34.531407,-117.80904299999999,0
300012,2019-05-26 16:15:55,4191109180926792,fraud_Rau-Grant,kids_pets,54.94,Jennifer,Spencer,F,477 Wheeler Burg,Amanda,OH,43102,39.6251,-82.7552,4512,Farm manager,1992-10-03,b461cd4510ab25649fef6a23b0af26df,1338048955,39.108388,-81.97314399999999,0
300013,2019-05-26 16:16:12,376445266762684,fraud_Herzog Ltd,misc_pos,456.27,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.13600000000001,1789,Insurance broker,1982-02-11,ad235e217762013d1f98f98c38b3f778,1338048972,40.326468,-100.99099,0
300014,2019-05-26 16:16:33,3595192916105588,fraud_Brown Inc,kids_pets,3.48,Dustin,Roberts,M,3283 James Station,Fayetteville,NC,28314,35.0583,-79.008,238602,"Scientist, research (maths)",1993-05-14,4f5f8a9567ca87f7df6fff03abc85951,1338048993,35.319834,-79.033539,0
300015,2019-05-26 16:16:35,372509258176510,fraud_Cartwright PLC,kids_pets,138.89,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,1985-06-18,4a28615e0ebdf0b9ca5334fd8af0f1fd,1338048995,42.715524,-83.043593,0
300016,2019-05-26 16:16:53,2305336922781618,fraud_Reilly and Sons,health_fitness,6.49,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,1961-02-14,3ed52114d8ed8b6fff95bf7826b6f59f,1338049013,40.095123,-92.216111,0
300017,2019-05-26 16:17:21,180067784565096,fraud_Bechtelar-Rippin,food_dining,15.54,Mary,Juarez,F,35440 Ryan Islands,North Prairie,WI,53153,42.9385,-88.395,2328,Applications developer,1942-01-06,a53cddbaedca311f72c722674c0a3b1d,1338049041,43.20982,-88.485066,0
300018,2019-05-26 16:18:07,3519607465576254,fraud_Turner LLC,travel,3.51,Audrey,Gonzalez,F,34180 Lopez Plaza,Fields Landing,CA,95537,40.7268,-124.2174,276,"Scientist, audiological",1929-05-06,a9e120cd579e7a465ffe6fd06dde5913,1338049087,41.196208,-123.354778,0
300019,2019-05-26 16:18:08,5559857416065248,"fraud_Hodkiewicz, Prohaska and Paucek",travel,5.74,Jack,Hill,M,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,1945-12-21,3cbfa57dcc185ff3d9010b5ea5ce411e,1338049088,41.084004,-123.148169,0
300020,2019-05-26 16:18:27,568279015842,"fraud_Hintz, Bauch and Smith",health_fitness,74.74,Micheal,Hernandez,M,6139 Mark Rapid Apt. 651,Christine,ND,58015,46.5522,-96.7909,291,Television floor manager,1991-05-01,02b7e04ddc8a1822db6dc26ca4641540,1338049107,45.852047,-96.642399,0
300021,2019-05-26 16:18:43,3568255211412877,fraud_Zboncak Ltd,food_dining,76.1,Timothy,Gomez,M,707 Anthony Causeway,Leo,IN,46765,41.2249,-85.0301,5341,Biomedical engineer,1994-11-24,714082996be189bd9b80f5b6e0f5312c,1338049123,41.316309999999994,-85.064923,0
300022,2019-05-26 16:19:00,4079773899158,"fraud_Durgan, Gislason and Spencer",home,19.26,Eric,Preston,M,7020 Doyle Stream Apt. 951,Mesa,ID,83643,44.6255,-116.4493,129,Cartographer,1965-12-15,8c18552273a69c5365050e52ab630bfb,1338049140,44.48141,-116.986313,0
300023,2019-05-26 16:19:03,4681601008538160,"fraud_Gottlieb, Considine and Schultz",shopping_net,4.33,Tammy,Davis,F,77663 Colleen Freeway,Moundsville,WV,26041,39.9148,-80.73100000000001,16183,Physiotherapist,1977-08-12,4a2a7870ab1197bef411f97ad94303cf,1338049143,40.610378999999995,-80.595791,0
300024,2019-05-26 16:19:06,372520049757633,"fraud_Romaguera, Wehner and Tromp",kids_pets,26.1,Lori,Ramirez,F,4293 Ramirez Squares,Ranier,MN,56668,48.6031,-93.2977,136,Ceramics designer,2000-02-20,87d2d2b8af15e9456be6d411da592c2c,1338049146,48.926213,-94.271948,0
300025,2019-05-26 16:19:33,36722699017270,fraud_Swift PLC,kids_pets,10.96,Jessica,Perez,F,8172 Robertson Parkways Suite 072,Superior,AZ,85173,33.2887,-111.0985,2872,Petroleum engineer,1987-10-28,e4e2cda28e2e9ede87dc613a9bcf748c,1338049173,32.301707,-111.15951799999999,0
300026,2019-05-26 16:19:50,38199021865320,fraud_Kilback and Sons,entertainment,73.85,Jesse,Roberts,M,8415 Vaughn Squares Apt. 788,Acworth,NH,3601,43.196000000000005,-72.3001,477,Naval architect,1988-04-15,d52978f538f0345caf5822558e8582b5,1338049190,42.41922,-72.879517,0
300027,2019-05-26 16:20:17,4427805710168,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,2.82,Michelle,Rodriguez,F,1742 Brandon Squares Apt. 461,Ruidoso,NM,88355,33.3305,-105.6933,8874,Licensed conveyancer,2000-08-16,269a16f3066f40a931f816c31a270b53,1338049217,33.231584000000005,-105.91837,0
300028,2019-05-26 16:20:17,38947654498698,fraud_Friesen-Ortiz,personal_care,22.19,Lori,Rodriguez,F,12087 Michael Light,Creola,OH,45622,39.3543,-82.50299999999999,321,"Copywriter, advertising",1979-06-24,56a59c4569eba973f365140b5b0ba938,1338049217,39.240072,-81.575988,0
300029,2019-05-26 16:20:21,561942763351,fraud_Wilkinson PLC,kids_pets,23.3,Melissa,Brown,F,330 Montoya Ramp,Washington,DC,20036,38.9087,-77.0414,601723,Prison officer,1986-03-14,bf337aa8734e43f819f6ca2245dc9437,1338049221,38.177244,-76.957601,0
300030,2019-05-26 16:20:21,4623560839669,fraud_Pollich LLC,home,99.99,Vincent,Waller,M,9379 Vanessa Run Apt. 400,Lohrville,IA,51453,42.2619,-94.5566,695,Administrator,1954-07-15,6f7235ffb2ce477303bbb7458e416672,1338049221,42.190665,-95.041921,0
300031,2019-05-26 16:20:38,3525668150756629,fraud_Schoen Ltd,kids_pets,51.99,Christopher,Choi,M,04611 Sandra Spring Suite 059,Rumely,MI,49826,46.3481,-87.0436,137,Film/video editor,1990-08-13,044477fba3a851fc7eeb420881b49857,1338049238,46.550078000000006,-86.816907,0
300032,2019-05-26 16:21:11,4769426683924058915,fraud_Dietrich-Fadel,health_fitness,129.08,Andrea,Cruz,F,26572 Hodge Villages Suite 512,Mifflin,PA,17058,40.5553,-77.4001,1909,Mining engineer,1954-08-22,b49e2da32793d41cd09ae8acdc029e1c,1338049271,40.654413,-77.19426700000001,0
300033,2019-05-26 16:21:29,4642894980163,"fraud_Yost, Block and Koepp",misc_pos,5.8,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1990-07-13,ef3abc45ccedd8ba731a8a3999bfd236,1338049289,39.933863,-94.416881,0
300034,2019-05-26 16:21:49,3521815216091574,fraud_Kuphal-Toy,food_dining,62.49,Wayne,Marsh,M,172 Leonard Island,Dumont,CO,80436,39.7532,-105.6356,565,Mental health nurse,1978-08-27,e6b512384a59d152413dbc9e5b5b93f9,1338049309,40.655313,-105.64979,0
300035,2019-05-26 16:21:58,2348245054386329,fraud_Lubowitz-Walter,kids_pets,180.28,Justin,Gay,M,268 Hayes Rue Suite 811,Harborcreek,PA,16421,42.1767,-79.9416,2518,Event organiser,1946-02-02,ae49ed4627e38d7f95e97872257e2d86,1338049318,41.718621999999996,-78.989729,0
300036,2019-05-26 16:22:37,3557442674264531,fraud_Bahringer-Streich,food_dining,20.66,Angela,Edwards,F,486 Wilkins Pines,Lithopolis,OH,43136,39.8013,-82.8125,460,"Lecturer, higher education",2004-06-19,54675b5d3e36aac4a8357c5a7a2e735f,1338049357,40.266157,-82.391678,0
300037,2019-05-26 16:23:20,4124536010991657,fraud_Medhurst Inc,home,112.61,Sydney,Montoya,F,265 Christian Summit Suite 231,Fairhope,AL,36532,30.5012,-87.8835,27829,"Presenter, broadcasting",1954-07-21,f4a80b524a1b55470e9cb0ba84cefdac,1338049400,30.196351,-87.434336,0
300038,2019-05-26 16:23:48,30427035050508,fraud_Wilkinson LLC,personal_care,11.53,John,Chandler,M,88325 Brandon Greens Apt. 477,Detroit,MI,48202,42.376999999999995,-83.0796,673342,Broadcast presenter,1969-11-20,9f5c54b5399a3e24c1763ddf11ec4dab,1338049428,41.950528999999996,-83.069062,0
300039,2019-05-26 16:24:18,4344955088481397,"fraud_Walter, Hettinger and Kessler",personal_care,75.46,Christopher,Rodgers,M,30587 Fox Shores Apt. 627,Fenelton,PA,16034,40.8555,-79.7372,2054,Communications engineer,1976-09-29,8cfedfb0ce2696f449e35e651495edd4,1338049458,41.067808,-79.269468,0
300040,2019-05-26 16:24:47,4587657402165341815,"fraud_Boehm, Predovic and Reinger",misc_pos,205.49,Amber,Lewis,F,6296 John Keys Suite 858,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",2004-05-08,66fe46789bf5f73f7699d662aae03df3,1338049487,41.754767,-88.002038,0
300041,2019-05-26 16:25:25,377234009633447,fraud_Fadel-Hilpert,health_fitness,43.42,Theresa,Blackwell,F,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,1966-02-14,140056263158d412d230d70c453139b5,1338049525,39.243718,-77.620789,0
300042,2019-05-26 16:25:26,4328928491302401,fraud_Torp-Lemke,misc_pos,95.46,Margaret,Ray,F,927 Cummings Manor Suite 318,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1981-05-06,608ec12cb76599d15a1097ece7932fcb,1338049526,43.351209999999995,-87.582481,0
300043,2019-05-26 16:25:28,4789911625179723,fraud_Donnelly LLC,entertainment,73.55,Dorothy,Zuniga,F,77321 Ford Via,Moriches,NY,11955,40.8095,-72.8229,3285,"Research officer, trade union",1988-04-27,2c1ec23578a78ce861654276c314d9af,1338049528,40.897215,-72.964362,0
300044,2019-05-26 16:25:36,30273037698427,fraud_Dibbert-Green,entertainment,92.1,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,72165,35.5762,-91.4539,111,Careers information officer,2000-06-13,edff9097366cc0863664b623c891b5fb,1338049536,36.043081,-90.622412,0
300045,2019-05-26 16:25:36,3543591270174051,fraud_Johns-Hoeger,entertainment,1.92,Margaret,Lam,F,6911 Nicholas Keys Apt. 237,Armagh,PA,15920,40.4603,-79.0097,922,Early years teacher,1972-10-04,9b30f07ce52fa810b8e5660fe808fd48,1338049536,40.176072999999995,-80.00358100000001,0
300046,2019-05-26 16:26:13,6539653032686894,"fraud_Dare, Fritsch and Zboncak",health_fitness,24.64,Samuel,Short,M,23383 Denise Pine Apt. 099,Sacramento,CA,95842,38.6865,-121.3494,757530,Soil scientist,1966-09-19,3dbc0f643c1e27dee6c7943ff6eeb147,1338049573,38.741105,-120.664105,0
300047,2019-05-26 16:26:24,374656033243756,fraud_Dietrich-Fadel,health_fitness,12.54,David,Lewis,M,1499 Michael Rue,Arlington,VA,22213,38.8954,-77.1633,207410,Mudlogger,1984-07-03,c0dbe4c11719dde1f0aefd3081ff20a6,1338049584,38.383142,-76.286811,0
300048,2019-05-26 16:26:25,38052002992326,"fraud_Casper, Hand and Zulauf",grocery_pos,58.66,Anna,Logan,F,3522 Park Wells Suite 528,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,1995-09-11,ba306bc71ca477eca693e08261cd3391,1338049585,31.265639,-95.85101999999999,0
300049,2019-05-26 16:26:40,180031190491743,fraud_Marvin-Lind,personal_care,60.56,Becky,Mckinney,F,250 Benjamin Hill Apt. 026,Mobile,AL,36617,30.7145,-88.0918,270712,"Surveyor, land/geomatics",1972-01-05,ba9958e5e513f39d36bfbab87e976095,1338049600,31.100122999999996,-88.719367,0
300050,2019-05-26 16:27:00,38052002992326,fraud_Kassulke PLC,shopping_net,9.69,Anna,Logan,F,3522 Park Wells Suite 528,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,1995-09-11,31c3ebc3fb5f9e100abae3d04f1ffb8a,1338049620,30.561626,-95.940017,0
300051,2019-05-26 16:27:25,4658117080136,fraud_Christiansen-Gusikowski,misc_pos,17.23,Dwayne,Martinez,M,490 Baldwin Alley Apt. 468,Crownpoint,NM,87313,35.7206,-108.0271,5662,IT consultant,1989-04-08,c594fc2a4de05193904f6a784cb6b95a,1338049645,36.461889,-107.901976,0
300052,2019-05-26 16:27:39,3598634130286287,fraud_Torphy-Kertzmann,health_fitness,15.04,David,Hughes,M,707 Butler Parkways Apt. 747,Omaha,NE,68117,41.2064,-95.9953,518429,"Surveyor, land/geomatics",1995-10-10,65ffe807e3dfe15608a72f63917c6d99,1338049659,40.7598,-96.232437,0
300053,2019-05-26 16:28:26,3567697931646329,fraud_Dickinson Ltd,personal_care,39.42,John,Stevens,M,428 Morgan River,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,1998-07-29,999de0c14c86be1651609e8b2a4b2dc8,1338049706,42.100396,-73.800647,0
300054,2019-05-26 16:28:27,630451534402,fraud_Zboncak LLC,food_dining,51.37,Rachel,Daniels,F,561 Little Plain Apt. 738,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,1972-06-12,144e393b8735289faf6de49a676e57cc,1338049707,45.941381,-86.006351,0
300055,2019-05-26 16:28:48,3583635130604947,fraud_Schulist Ltd,food_dining,59.5,Crystal,Gamble,F,899 Michele View Suite 960,Philadelphia,PA,19149,40.0369,-75.0664,1526206,Structural engineer,1985-01-01,ce1f68db690ea454d68296b3e8b2e4ab,1338049728,39.82367,-75.0968,0
300056,2019-05-26 16:28:57,213112402583773,fraud_Lemke-Gutmann,shopping_net,452.35,Ana,Howell,F,4664 Sanchez Common Suite 930,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),1984-06-03,c9b428ceac6e181fc1cbd278693b91ff,1338049737,33.11103,-82.744187,0
300057,2019-05-26 16:28:58,4599735407877245080,fraud_Fadel-Hilpert,health_fitness,18.52,Mary,Myers,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,1964-12-30,cdab12fd133bc77fdd2b694fb0e562ec,1338049738,37.157414,-89.417907,0
300058,2019-05-26 16:28:59,3518669219150142,"fraud_Weber, Thiel and Hammes",kids_pets,40.63,Dorothy,Thomas,F,537 Rice Square Suite 040,Milford,OH,45150,39.1657,-84.23299999999999,31394,Hospital doctor,1996-11-12,ed490ad33b05f830b5d4972be78f7484,1338049739,38.486736,-83.58349100000001,0
300059,2019-05-26 16:29:19,6597888193422452,fraud_Kutch-Ferry,home,14.98,Bill,Lane,M,4725 Hurst Curve Apt. 634,Holliday,TX,76366,33.6751,-98.6576,2317,Chief Technology Officer,1964-08-23,e67cd9ce05681e7f5233f1d7a6a3a431,1338049759,34.469983,-97.810869,0
300060,2019-05-26 16:30:13,581686439828,fraud_Bauch-Blanda,entertainment,10.3,Larry,House,M,911 Sabrina Trafficway,Cochranton,PA,16314,41.5205,-80.0573,5507,Retail merchandiser,1973-07-28,d6e26e79488590157b9274e4baeab5d7,1338049813,42.305,-80.392423,0
300061,2019-05-26 16:30:24,3565996340207976,fraud_Dibbert and Sons,entertainment,95.85,Warren,Daniels,M,23656 Harris Gardens Suite 698,El Paso,TX,79906,31.8092,-106.4247,749635,Market researcher,1973-01-21,236efaa438ff8ae7c72229a92caefb68,1338049824,31.470167,-106.40702900000001,0
300062,2019-05-26 16:30:48,6011104316292105,fraud_Morissette-Schaefer,personal_care,14.94,Valerie,Davis,F,3861 Anderson Ramp Apt. 536,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,1985-09-02,a23e1fe5388e5443e515d6b83b9c0200,1338049848,36.005378,-78.504071,0
300063,2019-05-26 16:30:59,4653178848915023204,"fraud_Nicolas, Hills and McGlynn",entertainment,6.73,Robert,Hall,M,371 Anthony Trail Suite 354,Glade Spring,VA,24340,36.7779,-81.7676,5657,Clinical psychologist,1987-04-29,db9546b2d926bbfac2856afb0ec95ec4,1338049859,36.124645,-82.23728100000001,0
300064,2019-05-26 16:31:17,30135235368675,"fraud_Hyatt, Russel and Gleichner",health_fitness,100.41,Amanda,Williams,F,02018 Gary Key Apt. 911,Independence,MO,64058,39.1412,-94.3515,123373,"Engineer, production",1992-11-27,0feadf3d1e805bc78f03c288855f3120,1338049877,38.152635,-95.261607,0
300065,2019-05-26 16:31:22,2264937662466770,fraud_Larkin Ltd,kids_pets,80.63,Juan,Sherman,M,5939 Garcia Forges Suite 297,San Antonio,TX,78214,29.3641,-98.4924,1595797,Land,1995-10-17,6ce2f87048734c9348b937189e385874,1338049882,29.132784,-97.922983,0
300066,2019-05-26 16:31:38,4900628639996,"fraud_Ledner, Hartmann and Feest",health_fitness,51.53,Michael,Johnson,M,094 Owens Underpass,Norwalk,CA,90650,33.9056,-118.0818,105549,Firefighter,1973-09-22,5a9d798b9a5686de58a3204e786e3270,1338049898,34.581701,-118.965457,0
300067,2019-05-26 16:31:42,4601636330889,fraud_Mayert Group,shopping_pos,1.84,Mark,Rivera,M,383 Contreras Hills Suite 658,Humble,TX,77338,30.0041,-95.2825,194500,Tax adviser,1990-12-18,436465ea792dcfecc6a9d20ed28df36d,1338049902,30.654272,-95.20589100000001,0
300068,2019-05-26 16:31:51,573860193545,fraud_Berge-Ullrich,home,10.35,Cristian,Jones,M,0423 Kirby Field Suite 623,Wilmette,IL,60091,42.0765,-87.7246,27020,Trade mark attorney,1986-07-23,65bb58b1555cd108cf00a8e135ffa1fc,1338049911,41.660663,-88.05460500000001,0
300069,2019-05-26 16:32:11,38295635583927,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,1.22,Candice,Brown,F,9412 Harris Mews,O Brien,TX,79539,33.3749,-99.8473,178,Warden/ranger,1983-06-14,481eabb396125265ba5aaf237a352b3c,1338049931,32.742905,-100.132501,0
300070,2019-05-26 16:32:32,30404291151692,"fraud_Metz, Russel and Metz",kids_pets,31.8,Savannah,Lewis,F,537 Walker Freeway,North Tonawanda,NY,14120,43.0498,-78.851,45100,Ambulance person,1993-10-25,dab946fe1e447bd5637bf3d15b6f76c1,1338049952,42.883257,-77.999883,0
300071,2019-05-26 16:32:46,2450829271795901,fraud_Frami Group,entertainment,1.41,Timothy,Kirby,M,7309 Sophia Causeway Suite 702,Sauk Rapids,MN,56379,45.604,-94.1591,16163,Hydrographic surveyor,1987-02-22,68a06e46dc30f498ef646dcc564cfd52,1338049966,45.071355,-94.79658,0
300072,2019-05-26 16:33:24,2283743876903625,fraud_Mohr Inc,shopping_pos,9.51,Shannon,Williams,F,9345 Spencer Junctions Suite 183,Alpharetta,GA,30009,34.077,-84.3033,165556,Prison officer,1997-12-27,d8a5d0de8fb034d50795b4c006c43269,1338050004,34.142848,-85.167899,0
300073,2019-05-26 16:33:27,4512828414983801773,fraud_Ruecker-Mayert,kids_pets,31.11,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,1983-07-25,71d645e06bc106b4758e1220e9dc33cc,1338050007,40.826758,-80.634337,0
300074,2019-05-26 16:33:38,3514865930894695,fraud_Leffler-Goldner,personal_care,18.08,Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,1967-08-30,bafd5e149b9229a2b49fa4290a031882,1338050018,32.585996,-104.94279399999999,0
300075,2019-05-26 16:33:43,4005676619255478,"fraud_Metz, Russel and Metz",kids_pets,46.2,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,335b9141dc8182e8a1c33e4c6d9ffbe9,1338050023,31.062578000000002,-90.80781400000001,0
300076,2019-05-26 16:33:44,180048185037117,fraud_Larson-Moen,entertainment,39.53,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1974-07-19,0dbfb3f855754f0034d8f41506fc11b3,1338050024,40.02021,-73.565904,0
300077,2019-05-26 16:33:48,3531129874770000,"fraud_Conroy, Balistreri and Gorczany",health_fitness,27.19,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",1975-07-13,5bcf9ac1cc68b415085d7e0ddd79da1c,1338050028,43.913733,-73.159251,0
300078,2019-05-26 16:33:53,180067151859700,"fraud_Hintz, Bauch and Smith",health_fitness,10.4,Karen,Ryan,F,82468 Michelle Village Suite 556,Joliet,IL,60432,41.5378,-88.0572,128354,"Teacher, secondary school",1992-01-20,ecc68387e4123a5422434e7b3551d4d9,1338050033,42.199721000000004,-88.002912,0
300079,2019-05-26 16:34:16,3595192916105588,fraud_Pouros-Conroy,shopping_pos,1.4,Dustin,Roberts,M,3283 James Station,Fayetteville,NC,28314,35.0583,-79.008,238602,"Scientist, research (maths)",1993-05-14,2a97326ddf13b071129e736c0972a646,1338050056,35.638859000000004,-78.249313,0
300080,2019-05-26 16:34:19,30030380240193,fraud_Brown Inc,kids_pets,55.99,William,Jenkins,M,50614 Kevin Point,Harper,TX,78631,30.2816,-99.241,2395,"Pharmacist, community",1993-11-17,59fc13285cf2df2203855c247770f2e3,1338050059,30.041321999999997,-100.03697700000001,0
300081,2019-05-26 16:34:39,6592243974328236,"fraud_Hyatt, Russel and Gleichner",health_fitness,107.14,Philip,Hart,M,97405 Vazquez Plains,Montgomery,AL,36111,32.3374,-86.2715,214703,"Chemist, analytical",1994-10-07,5478e85fc919ca772b84d4fb58137efa,1338050079,32.872078,-86.578225,0
300082,2019-05-26 16:34:49,373905417449658,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,14.82,Sarah,Bishop,F,554 Mcdonald Valley Apt. 539,Meridian,TX,76665,31.929000000000002,-97.6443,2526,Phytotherapist,1970-11-12,13f6680d3fe17b02da8154cc127e008c,1338050089,32.755308,-98.33340799999999,0
300083,2019-05-26 16:35:13,4155021259183870,fraud_Gleason and Sons,kids_pets,46.76,Renee,Parrish,F,174 Jennifer Meadow Apt. 467,Mountain Park,OK,73559,34.7032,-98.9591,540,Research scientist (life sciences),1983-10-12,e26463d4963254a78786230aa1433ebc,1338050113,35.613541,-99.702493,0
300084,2019-05-26 16:35:23,3521417320836166,"fraud_Kutch, Steuber and Gerhold",food_dining,48.99,Angela,Hodges,F,08236 Kim Hill,Indianapolis,IN,46254,39.849000000000004,-86.272,910148,Firefighter,1975-11-30,295387771c40f89027a84e181dd659f5,1338050123,39.667336,-87.24197,0
300085,2019-05-26 16:35:49,4292743669224718067,"fraud_Reichert, Shanahan and Hayes",shopping_net,9.2,Michael,Williams,M,35822 Clayton Street Apt. 679,Great Mills,MD,20634,38.2674,-76.4954,5927,Art therapist,1973-06-09,a313ff18009fb43feec788518775da2d,1338050149,38.636518,-76.825239,0
300086,2019-05-26 16:36:07,4481131401752,fraud_Kozey-Kuhlman,personal_care,29.94,Frank,Foster,M,37910 Ward Lights,Shrewsbury,MA,1545,42.2848,-71.7205,35299,English as a second language teacher,1975-04-30,872bca2f869157b6e7259b5574c051a6,1338050167,42.767414,-72.64755799999999,0
300087,2019-05-26 16:36:26,342952484382519,"fraud_Medhurst, Cartwright and Ebert",personal_care,54.66,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,0cfc7b4776872b5c1b65f71ff2dc9836,1338050186,42.743308,-73.925974,0
300088,2019-05-26 16:36:47,180067151859700,fraud_Shanahan-Lehner,personal_care,2.56,Karen,Ryan,F,82468 Michelle Village Suite 556,Joliet,IL,60432,41.5378,-88.0572,128354,"Teacher, secondary school",1992-01-20,f459f128a91ff55c76aa1ce86dda93c0,1338050207,41.37648,-88.321539,0
